2015-08-16 13:50:03,661 [6] INFO  Umbraco.Core.CoreBootManager - [P1672/T1/D2] Umbraco 7.2.8 application starting on JOHNNY-PC
2015-08-16 13:50:03,691 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Determining hash of code files on disk
2015-08-16 13:50:03,701 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Hash determined (took 8ms)
2015-08-16 13:50:03,705 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-16 13:50:03,719 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 12ms)
2015-08-16 13:50:03,786 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-16 13:50:03,786 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-08-16 13:50:03,786 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-16 13:50:03,787 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-08-16 13:50:03,799 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-16 13:50:03,800 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 0ms)
2015-08-16 13:50:03,800 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-08-16 13:50:03,802 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 1ms)
2015-08-16 13:50:03,828 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-16 13:50:03,829 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-08-16 13:50:03,829 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-16 13:50:03,829 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-08-16 13:50:04,342 [6] INFO  Umbraco.Core.DatabaseContext - [P1672/T1/D2] CanConnect = True
2015-08-16 13:50:04,353 [6] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P1672/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-08-16 13:50:04,368 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P1672/T1/D2] Initializing Examine and binding to business logic events
2015-08-16 13:50:04,412 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P1672/T1/D2] Adding examine event handlers for index providers: 3
2015-08-16 13:50:04,422 [6] INFO  Umbraco.Core.CoreBootManager - [P1672/T1/D2] Umbraco application startup complete (took 756ms)
2015-08-16 13:50:04,748 [6] INFO  Umbraco.Core.ApplicationContext - [P1672/T1/D2] ApplicationUrl: http://localhost:50469/umbraco (UmbracoModule request)
2015-08-16 13:50:04,792 [6] INFO  umbraco.content - [P1672/T1/D2] Load Xml from file...
2015-08-16 13:50:04,794 [6] ERROR umbraco.content - [P1672/T1/D2] Failed to load Xml from file.
System.Xml.XmlException: There is no Unicode byte order mark. Cannot switch to Unicode.
   at System.Xml.XmlTextReaderImpl.Throw(Exception e)
   at System.Xml.XmlTextReaderImpl.ThrowWithoutLineInfo(String res)
   at System.Xml.XmlTextReaderImpl.CheckEncoding(String newEncodingName)
   at System.Xml.XmlTextReaderImpl.ParseXmlDeclaration(Boolean isTextDecl)
   at System.Xml.XmlTextReaderImpl.Read()
   at System.Xml.XmlLoader.Load(XmlDocument doc, XmlReader reader, Boolean preserveWhitespace)
   at System.Xml.XmlDocument.Load(XmlReader reader)
   at System.Xml.XmlDocument.Load(Stream inStream)
   at umbraco.content.LoadXmlFromFile()
2015-08-16 13:50:04,797 [6] INFO  umbraco.content - [P1672/T1/D2] Loading content from database...
2015-08-16 13:50:05,398 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-08-16 13:50:05,399 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 0ms)
2015-08-16 13:50:05,476 [6] INFO  Umbraco.Core.PluginManager - [P1672/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
